Contiguous U.S., Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199308,71.89,-0.21
199309,63.30,-1.56
199310,52.97,-1.14
199311,39.22,-2.47
199312,34.20,1.52
199401,29.34,-0.78
199402,31.87,-1.95
199403,44.51,3.01
199404,52.66,1.61
199405,60.67,0.47
199406,70.95,2.46
199407,73.62,0.01
199408,72.21,0.11
199409,65.55,0.69
199410,54.21,0.10
199411,42.57,0.88
199412,36.23,3.55
199501,33.08,2.96
199502,37.36,3.54
199503,43.34,1.84
199504,49.41,-1.64
199505,58.64,-1.56
199506,67.55,-0.94
199507,73.54,-0.07
199508,74.32,2.22
199509,64.69,-0.17
199510,54.45,0.34
199511,42.04,0.35
199512,33.42,0.74
199601,29.70,-0.42
199602,35.69,1.87
199603,39.02,-2.48
199604,50.65,-0.40
199605,60.98,0.78
199606,69.87,1.38
199607,73.63,0.02
199608,72.43,0.33
199609,63.46,-1.40
199610,53.65,-0.46
199611,39.63,-2.06
199612,33.91,1.23
199701,29.95,-0.17
199702,36.05,2.23
199703,44.67,3.17
199704,47.91,-3.14
199705,59.40,-0.80
199706,68.31,-0.18
199707,73.18,-0.43
199708,71.74,-0.36
199709,66.42,1.56
199710,53.92,-0.19
199711,40.87,-0.82
199712,34.00,1.32
199801,34.99,4.87
199802,38.71,4.89
199803,41.34,-0.16
199804,51.06,0.01
199805,62.47,2.27
199806,68.13,-0.36
199807,75.49,1.88
199808,74.03,1.93
199809,68.99,4.13
199810,55.13,1.02
199811,44.91,3.22
199812,35.55,2.87
199901,33.78,3.66
199902,39.49,5.67
199903,42.80,1.30
199904,51.55,0.50
199905,60.06,-0.14
199906,68.31,-0.18
199907,74.30,0.69
199908,72.91,0.81
199909,64.35,-0.51
199910,54.75,0.64
199911,48.11,6.42
199912,36.10,3.42
200001,33.57,3.45
200002,39.78,5.96
200003,46.04,4.54
200004,52.59,1.54
200005,63.14,2.94
200006,69.03,0.54
200007,73.87,0.26
200008,74.05,1.95
200009,65.57,0.71
200010,55.09,0.98
200011,38.03,-3.66
200012,28.44,-4.24
200101,31.35,1.23
200102,33.98,0.16
200103,41.49,-0.01
200104,53.08,2.03
200105,62.82,2.62
200106,69.24,0.75
200107,74.48,0.87
200108,74.30,2.20
200109,65.70,0.84
200110,54.37,0.26
200111,47.41,5.72
200112,36.12,3.44
200201,34.48,4.36
200202,36.39,2.57
200203,39.54,-1.96
200204,53.49,2.44
200205,59.29,-0.91
200206,70.86,2.37
200207,75.85,2.24
200208,72.86,0.76
200209,66.85,1.99
200210,51.84,-2.27
200211,41.97,0.28
200212,35.08,2.40
200301,32.81,2.69
200302,32.79,-1.03
200303,43.30,1.80
200304,51.89,0.84
200305,60.98,0.78
200306,68.05,-0.44
200307,75.47,1.86
200308,74.66,2.56
200309,64.96,0.10
200310,56.55,2.44
200311,42.35,0.66
200312,35.29,2.61
200401,30.34,0.22
200402,33.57,-0.25
200403,47.41,5.91
200404,52.68,1.63
200405,61.92,1.72
200406,68.09,-0.40
200407,72.90,-0.71
200408,70.16,-1.94
200409,65.66,0.80
200410,55.36,1.25
200411,43.99,2.30
200412,35.06,2.38
200501,33.39,3.27
200502,37.94,4.12
200503,42.31,0.81
200504,52.27,1.22
200505,59.56,-0.64
200506,69.21,0.72
200507,75.31,1.70
200508,73.20,1.10
200509,67.37,2.51
200510,55.38,1.27
200511,45.01,3.32
200512,32.70,0.02
200601,38.93,8.81
200602,34.83,1.01
200603,42.62,1.12
200604,55.26,4.21
200605,62.28,2.08
200606,70.75,2.26
200607,76.41,2.80
200608,73.40,1.30
200609,63.30,-1.56
200610,52.59,-1.52
200611,44.08,2.39
200612,36.57,3.89
200701,31.35,1.23
200702,32.41,-1.41
200703,47.66,6.16
200704,50.54,-0.51
200705,62.33,2.13
200706,69.87,1.38
200707,74.70,1.09
200708,74.64,2.54
200709,66.43,1.57
200710,56.68,2.57
200711,44.01,2.32
200712,33.22,0.54
200801,30.27,0.15
200802,34.70,0.88
200803,41.86,0.36
200804,50.40,-0.65
200805,59.36,-0.84
200806,69.60,1.11
200807,74.08,0.47
200808,72.28,0.18
200809,65.21,0.35
200810,53.98,-0.13
200811,43.92,2.23
200812,31.87,-0.81
200901,31.05,0.93
200902,36.77,2.95
200903,42.87,1.37
200904,50.92,-0.13
200905,61.65,1.45
200906,68.54,0.05
200907,72.63,-0.98
200908,71.89,-0.21
200909,66.38,1.52
200910,50.50,-3.61
200911,45.84,4.15
200912,29.64,-3.04
201001,30.67,0.55
201002,31.80,-2.02
201003,43.57,2.07
201004,53.24,2.19
201005,59.88,-0.32
201006,70.48,1.99
201007,74.71,1.10
201008,74.05,1.95
201009,66.49,1.63
201010,56.14,2.03
201011,42.31,0.62
201012,32.47,-0.21
201101,29.71,-0.41
201102,33.04,-0.78
201103,43.07,1.57
201104,51.96,0.91
201105,59.13,-1.07
201106,69.82,1.33
201107,76.14,2.53
201108,75.00,2.90
201109,66.09,1.23
201110,55.09,0.98
201111,43.75,2.06
201112,35.40,2.72
201201,36.12,6.00
201202,37.51,3.69
201203,50.41,8.91
201204,54.68,3.63
201205,63.45,3.25
201206,70.54,2.05
201207,76.77,3.16
201208,73.80,1.70
201209,66.31,1.45
201210,53.89,-0.22
201211,44.01,2.32
201212,35.92,3.24
201301,32.25,2.13
201302,34.77,0.95
201303,40.91,-0.59
201304,49.68,-1.37
201305,60.85,0.65
201306,70.39,1.90
201307,74.21,0.60
201308,72.99,0.89
201309,66.96,2.10
201310,53.44,-0.67
201311,41.61,-0.08
201312,31.06,-1.62
201401,30.56,0.44
201402,32.13,-1.69
201403,40.51,-0.99
201404,51.69,0.64
201405,61.27,1.07
201406,69.58,1.09
201407,73.29,-0.32
201408,72.25,0.15
201409,66.20,1.34
201410,56.93,2.82
201411,39.25,-2.44
201412,36.81,4.13
201501,33.08,2.96
201502,32.99,-0.83
201503,45.39,3.89
201504,53.24,2.19
201505,60.84,0.64
201506,71.37,2.88
201507,73.92,0.31
201508,72.95,0.85
201509,68.54,3.68
201510,57.24,3.13
201511,44.60,2.91
201512,38.66,5.98
201601,32.22,2.10
201602,39.47,5.65
201603,47.50,6.00
201604,53.19,2.14
201605,60.33,0.13
201606,71.76,3.27
201607,75.22,1.61
201608,73.53,1.43
201609,67.12,2.26
201610,57.72,3.61
201611,47.97,6.28
201612,32.95,0.27
201701,33.57,3.45
201702,41.18,7.36
201703,46.15,4.65
201704,53.80,2.75
201705,60.57,0.37
201706,70.36,1.87
201707,75.70,2.09
201708,72.01,-0.09
201709,66.27,1.41
201710,55.69,1.58
201711,45.03,3.34
201712,34.29,1.61
201801,32.16,2.04
201802,35.51,1.69
201803,42.73,1.23
201804,49.03,-2.02
201805,65.52,5.32
201806,71.55,3.06
201807,75.45,1.84
201808,73.51,1.41
201809,67.53,2.67
201810,53.71,-0.40
201811,40.01,-1.68
201812,35.51,2.83
201901,32.56,2.44
201902,31.84,-1.98
201903,40.30,-1.20
201904,52.84,1.79
201905,59.49,-0.71
201906,68.70,0.21
201907,74.59,0.98
201908,73.74,1.64
201909,68.43,3.57
201910,52.05,-2.06
201911,41.09,-0.60
201912,36.43,3.75
202001,35.51,5.39
202002,36.14,2.32
202003,46.08,4.58
202004,50.86,-0.19
202005,60.89,0.69
202006,70.29,1.80
202007,75.67,2.06
